latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
8.704,-83.55255,2019.0,2.0,28.0,Video,MACHINE_OBSERVATION,4875655688,03160039.MP4/DDC/fonafifo,2019-02-28T00:00:00,POINT (-83.55255 8.704)
8.74807,-83.40155,2019.0,7.0,4.0,Fotograf{04170139.JPG,MACHINE_OBSERVATION,4875655476,04170139.JPG/DDC/fonafifo,2019-07-04T00:00:00,POINT (-83.40155 8.74807)
10.738537,-85.572084,2019.0,4.0,26.0,Fotograf{05160557.JPG,MACHINE_OBSERVATION,4875649933,05160557.JPG/DDC/fonafifo,2019-04-26T00:00:00,POINT (-85.572084 10.738537)
10.726964,-85.5949,2019.0,4.0,1.0,Video,MACHINE_OBSERVATION,4875646739,05140411.MP4/DDC/fonafifo,2019-04-01T00:00:00,POINT (-85.5949 10.726964)
8.74807,-83.40155,2022.0,5.0,16.0,Fotograf{05310321.JPG,MACHINE_OBSERVATION,4875645104,05310321.JPG/DDC/fonafifo,2022-05-16T00:00:00,POINT (-83.40155 8.74807)
8.70394,-83.55246,2019.0,4.0,17.0,Video,MACHINE_OBSERVATION,4875644847,07060711.MP4/DDC/fonafifo,2019-04-17T00:00:00,POINT (-83.55246 8.70394)
10.738537,-85.572084,2021.0,5.0,14.0,Fotograf{04240340.JPG,MACHINE_OBSERVATION,4875644785,04240340.JPG/DDC/fonafifo,2021-05-14T00:00:00,POINT (-85.572084 10.738537)
10.763197,-85.560203,2024.0,5.0,13.0,Fotograf{04110096.JPG,MACHINE_OBSERVATION,4875644647,04110096.JPG/DDC/fonafifo,2024-05-13T00:00:00,POINT (-85.560203 10.763197)
10.738537,-85.572084,2024.0,4.0,8.0,Fotograf{05160558.JPG,MACHINE_OBSERVATION,4875644172,05160558.JPG/DDC/fonafifo,2024-04-08T00:00:00,POINT (-85.572084 10.738537)
10.73641,-85.57318,2023.0,8.0,13.0,Video,MACHINE_OBSERVATION,4875644168,12230021.MP4/DDC/fonafifo,2023-08-13T00:00:00,POINT (-85.57318 10.73641)
8.74807,-83.40155,2023.0,4.0,17.0,Fotograf{02200013.JPG,MACHINE_OBSERVATION,4875644061,02200013.JPG/DDC/fonafifo,2023-04-17T00:00:00,POINT (-83.40155 8.74807)
8.70394,-83.55246,2023.0,5.0,30.0,Video,MACHINE_OBSERVATION,4875643621,07040629.MP4/DDC/fonafifo,2023-05-30T00:00:00,POINT (-83.55246 8.70394)
8.74807,-83.40155,2023.0,5.0,13.0,Fotograf{04170141.JPG,MACHINE_OBSERVATION,4875642913,04170141.JPG/DDC/fonafifo,2023-05-13T00:00:00,POINT (-83.40155 8.74807)
8.74807,-83.40155,2023.0,7.0,23.0,Fotograf{02200029.JPG,MACHINE_OBSERVATION,4875641448,02200029.JPG/DDC/fonafifo,2023-07-23T00:00:00,POINT (-83.40155 8.74807)
8.74807,-83.40155,2023.0,2.0,25.0,Fotograf{04260041.JPG,MACHINE_OBSERVATION,4875638750,04260041.JPG/DDC/fonafifo,2023-02-25T00:00:00,POINT (-83.40155 8.74807)
10.738537,-85.572084,2023.0,7.0,13.0,Fotograf{04100127.JPG,MACHINE_OBSERVATION,4875638658,04100127.JPG/DDC/fonafifo,2023-07-13T00:00:00,POINT (-85.572084 10.738537)
8.67738,-83.58411,2023.0,6.0,2.0,Video,MACHINE_OBSERVATION,4875637924,04110027.MP4/DDC/fonafifo,2023-06-02T00:00:00,POINT (-83.58411 8.67738)
10.738537,-85.572084,2023.0,8.0,7.0,Fotograf{05160555.JPG,MACHINE_OBSERVATION,4875637862,05160555.JPG/DDC/fonafifo,2023-08-07T00:00:00,POINT (-85.572084 10.738537)
8.74807,-83.40155,2023.0,2.0,28.0,Fotograf{04260200.JPG,MACHINE_OBSERVATION,4875637858,04260200.JPG/DDC/fonafifo,2023-02-28T00:00:00,POINT (-83.40155 8.74807)
10.72969,-85.58463,2023.0,5.0,30.0,Fotograf{04130209.JPG,MACHINE_OBSERVATION,4875636580,04130209.JPG/DDC/fonafifo,2023-05-30T00:00:00,POINT (-85.58463 10.72969)
8.74807,-83.40155,2023.0,9.0,4.0,Fotograf{04260201.JPG,MACHINE_OBSERVATION,4875635562,04260201.JPG/DDC/fonafifo,2023-09-04T00:00:00,POINT (-83.40155 8.74807)
8.70394,-83.55246,2023.0,1.0,18.0,Video,MACHINE_OBSERVATION,4875632989,07040627.MP4/DDC/fonafifo,2023-01-18T00:00:00,POINT (-83.55246 8.70394)
8.74807,-83.40155,2023.0,5.0,10.0,Fotograf{05310322.JPG,MACHINE_OBSERVATION,4875632429,05310322.JPG/DDC/fonafifo,2023-05-10T00:00:00,POINT (-83.40155 8.74807)
